Administrative Info;;;;;;;Taxonomy / Path;;;;;
Key;Possible Values;Match Partner KEY/Value;Private/
Public;Price (assumed to be CPM);Release Date;BK 
Category ID;Level1;Level2;Level3;Level4;Description;Notes/Comments
;;;;;;;;;;;OGURY data is unique, high quality, directly ingested mobile-specific data. We collect this data using a proprietary algorithm crunching billions of data points from over an ever-growing 150M+ active user base.;Top Level Description
og193;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Tools;;Users with higher than average installed Tools apps;
og194;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Transportation;;Users with higher than average installed Transportation apps;
og195;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Travel & Local;;Users with higher than average installed Travel & Local apps;
og196;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Apps;Weather;;Users with higher than average installed Weather apps;
;;;public;;2015-10-18;TBD;App Ownership;Games;;;Users with higher than average installed Games by genre;Navigational Node
og198;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Action;;Users with higher than average installed Action games;
og199;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Adventure;;Users with higher than average installed Adventure games;
og200;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Arcade;;Users with higher than average installed Arcade games;
og201;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Board;;Users with higher than average installed Board games;
og202;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Card;;Users with higher than average installed Card games;
og204;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Casual;;Users with higher than average installed Casual games;
og205;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Educational;;Users with higher than average installed Educational games;
og206;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Family;;Users with higher than average installed Family games;
og207;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Music;;Users with higher than average installed Music games;
og208;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Puzzle;;Users with higher than average installed Puzzle games;
og209;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Racing;;Users with higher than average installed Racing games;
og210;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Role Playing;;Users with higher than average installed Role Playing games;
og211;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Simulation;;Users with higher than average installed Simulation games;
og212;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Sports Games;;Users with higher than average installed Sports Games games;
og213;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Strategy;;Users with higher than average installed Strategy games;
og214;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Trivia;;Users with higher than average installed Trivia games;
og215;1;ADID;public;$1.25;2015-10-18;TBD;App Ownership;Games;Word;;Users with higher than average installed Word games;
;;;public;;2015-10-18;TBD; Brand Affinity;;;;OGURY Brand Affinity is calculated using a proprietary ranking based on deterministic user behaviour and interaction (visits, frequency, volume, etc..) with each brand.;Navigational Node
og217;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;1-800-Flowers;;;Users who have shown high brand affinity with 1-800-Flowers;
og218;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;adidas;;;Users who have shown high brand affinity with adidas;
og219;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Adobe;;;Users who have shown high brand affinity with Adobe;
og220;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Advance Auto Parts;;;Users who have shown high brand affinity with Advance Auto Parts;
og221;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Aeropostale;;;Users who have shown high brand affinity with Aeropostale;
og222;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;AliExpress;;;Users who have shown high brand affinity with AliExpress;
og223;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Amazon;;;Users who have shown high brand affinity with Amazon;
og224;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;American Airlines;;;Users who have shown high brand affinity with American Airlines;
og225;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;American Eagle Outfitters;;;Users who have shown high brand affinity with American Eagle Outfitters;
og226;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;American Express;;;Users who have shown high brand affinity with American Express;
og227;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Ancestry.com;;;Users who have shown high brand affinity with Ancestry.com;
og228;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Anna's Linens;;;Users who have shown high brand affinity with Anna's Linens;
og229;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Apple;;;Users who have shown high brand affinity with Apple;
og230;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Applebee's;;;Users who have shown high brand affinity with Applebee's;
og231;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;ASOS;;;Users who have shown high brand affinity with ASOS;
og232;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;AT&T;;;Users who have shown high brand affinity with AT&T;
og233;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Audible;;;Users who have shown high brand affinity with Audible;
og234;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Auto Parts Warehouse;;;Users who have shown high brand affinity with Auto Parts Warehouse;
og235;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Autotrader;;;Users who have shown high brand affinity with Autotrader;
og236;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;AutoZone;;;Users who have shown high brand affinity with AutoZone;
og237;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Avon;;;Users who have shown high brand affinity with Avon;
og238;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Barnes & Noble;;;Users who have shown high brand affinity with Barnes & Noble;
og239;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Bass Pro Shops;;;Users who have shown high brand affinity with Bass Pro Shops;
og240;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Bath & Body Works;;;Users who have shown high brand affinity with Bath & Body Works;
og241;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;bebe;;;Users who have shown high brand affinity with bebe;
og242;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Bed Bath & Beyond;;;Users who have shown high brand affinity with Bed Bath & Beyond;
og243;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Best Buy;;;Users who have shown high brand affinity with Best Buy;
og244;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Best Western;;;Users who have shown high brand affinity with Best Western;
og245;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Beyond.com;;;Users who have shown high brand affinity with Beyond.com;
og246;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;BJ's Wholesale Club;;;Users who have shown high brand affinity with BJ's Wholesale Club;
og247;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Blair;;;Users who have shown high brand affinity with Blair;
og248;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Bloomingdale's;;;Users who have shown high brand affinity with Bloomingdale's;
og249;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Buckle;;;Users who have shown high brand affinity with Buckle;
og250;1;ADID;public;$1.50;2015-10-18;TBD; Brand Affinity;Cabela's;;;Users who have shown high brand affinity with Cabela's;
